ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
1999-07-22,0.075,0.0,0.0,0,0
2000-05-31,0.16,0.0,0.0,0,0
2001-05-22,0.25,0.0,0.0,0,0
2002-07-16,0.3,0.0,0.0,0,0
2003-07-16,0.3,0.0,0.0,0,0
2004-05-20,0.3,0.0,0.5,0,0
2005-07-18,0.3,0.0,0.0,0,0
2006-04-28,0.2,0.0,0.0,0,0
2007-04-26,0.45,0.0,0.6,0,0
2008-05-30,0.4,0.0,0.15,0,0
2009-06-26,0.08,0.0,0.0,0,0
2010-06-09,0.03,0.0,0.0,0,0
2011-07-15,0.03,0.0,0.3,0,0
2012-06-21,0.03,0.0,0.0,0,0
2013-08-28,0.03,0.0,0.0,0,0
2018-05-24,0.06999999999999999,0.0,0.0,0,0
2022-06-23,0.11299999999999999,0.0,0.0,0,0
2023-06-30,0.16,0.0,0.0,0,0
2024-06-20,0.22999999999999998,0.0,0.0,0,0
2024-09-30,0.22999999999999998,0.0,0.0,0,0
2025-06-26,0.18,0.0,0.0,0,0
2025-10-28,0.32,0.0,0.0,0,0
