ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
2008-06-04,0.162,0.0,0.0,0,0
2009-06-22,0.414,0.0,0.0,0,0
2010-07-05,0.477,0.0,0.0,0,0
2011-06-13,0.675,0.0,0.0,0,0
2012-06-11,0.81,0.0,0.0,0,0
2013-07-08,0.912,0.0,0.0,0,0
2014-07-14,0.8645,0.0,0.0,0,0
2015-06-15,0.703,0.0,0.0,0,0
2016-07-04,0.32,0.0,0.0,0,0
2017-07-10,0.46,0.0,0.0,0,0
2017-07-10,2.51,0.0,0.0,0,0
2018-07-09,0.91,0.0,0.0,0,0
2019-07-08,0.88,0.0,0.0,0,0
2020-06-15,1.26,0.0,0.0,0,0
2021-07-12,1.81,0.0,0.0,0,0
2022-07-11,2.54,0.0,0.0,0,0
2023-07-05,2.55,0.0,0.0,0,0
2024-07-08,2.26,0.0,0.0,0,0
2025-07-07,2.26,0.0,0.0,0,0
2025-11-10,0.98,0.0,0.0,0,0
