ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
2002-07-01,0.05,0.0,0.0,0,0
2003-06-30,0.03,0.0,0.0,0,0
2004-06-02,0.12,0.0,0.0,0,0
2005-06-03,0.12,0.0,0.0,0,0
2006-06-29,0.192,0.0,0.0,0,0
2007-07-10,0.4,0.0,0.0,0,0
2008-06-23,0.3,0.0,0.0,0,0
2009-07-13,0.08,0.0,0.0,0,0
2010-07-02,0.1,0.0,0.0,0,0
2011-07-22,0.2,0.0,0.0,0,0
2011-12-20,0.2,0.0,0.0,0,0
2012-07-10,0.5,0.0,0.0,0,0
2013-07-24,0.5,0.0,0.0,0,0
2014-07-31,0.5,0.0,0.0,0,0
2015-07-17,0.2,0.0,0.0,0,0
2016-08-12,0.1,0.0,0.0,0,0
2017-07-12,0.15,0.0,0.0,0,0
2018-07-25,0.2,0.0,0.0,0,0
2019-07-26,0.2,0.0,0.0,0,0
2020-07-16,0.1,0.0,0.0,0,0
2021-07-20,0.1,0.0,0.0,0,0
2022-07-25,0.5,0.0,0.0,0,0
2023-07-21,0.5,0.0,0.0,0,0
2024-07-24,0.6,0.0,0.0,0,0
2025-07-22,0.7,0.0,0.0,0,0
2025-11-28,0.4,0.0,0.0,0,0
